conditions,details,enrollment,id,last_monitored_change,last_updated,monitor_status,name,phases,primary_outcome,sponsor,status,study_end,study_start,target
"Metastatic Cancer Lung, Advanced Lung Cancer, CBNPC Cancer","This study encompasses multicenter open-label, phase II trials.

Patients will be dispatched into 2 cohorts:

* Cohort A: Patients naïve from systemic treatment will be randomized according to two treatment modalities: atezolizumab + tiragolumab (arm A1) versus atezolizumab monotherapy (arm A2).

  43 patients are to be included in each arm.
* Cohort B: Patients with previous exposure to ICI will be treated with the combination of atezolizumab and tiragolumab.

  29 patients are to be included in this cohort.",115,NCT06713798,2026-02-05,2025-06-23,No Change,Targeting PD-L1 and TIGIT in Tumors With Tertiary Lymphoid Structures,PHASE2,Best overall response (BOR) rate,"Gustave Roussy, Cancer Campus, Grand Paris",NOT_YET_RECRUITING,2030-01,2025-07,TIGIT
Locally Advanced and Metastatic Solid Tumors,"The primary objectives of this study were: to assess the safety and tolerability, to determine the maximum tolerated dose (MTD) or maximum administered dose (MAD) and to determine the recommended Phase 2 dose (RP2D) of BGB-A1217 (known as ociperlimab) in combination with tislelizumab in participants with advanced solid tumors in phase 1.

Primary objective of Phase 1b was to assess overall response rate (ORR) determined by Investigator per Response Evaluation Criteria in Solid Tumors (RECIST) version (v).1.1 for patients in each dose-expansion cohort.",446,NCT04047862,2026-02-05,2025-08-04,No Change,Study of Ociperlimab (BGB-A1217) in Combination With Tislelizumab in Advanced Solid Tumors,PHASE1,Phase 1: Number of Participants With Treatment Emergent Adverse Events (TEAEs) and Treatment Emergent Serious Adverse Events (TESAEs),BeiGene,COMPLETED,2024-08-07,2019-08-15,TIGIT
"Advanced Solid Tumor, Non-Small Cell Lung Cancer, Hepatocellular Carcinoma",The Dose Optimization phase will enroll participants with advanced/metastatic solid tumors (except pancreatic). Up to 20 participants will be randomized into two dosing arms. Two different primary advanced solid tumors have been selected for investigation of antitumor activity in the Indication-specific Expansion phase. Up to 40 participants will be enrolled into each Indication-specific Expansion phase cohort. All participants in both phases will receive CHS-006 in combination with toripalimab intravenously (IV) every 3 weeks (Q3W).,22,NCT05757492,2026-02-05,2025-04-30,No Change,Study to Evaluate Safety and PK of CHS-006 in Combination With Toripalimab in Patients With Advanced Solid Tumors,PHASE1,Assessment of the number of participants with treatment-emergent adverse events (TEAEs) receiving CHS-006 administered in combination with toripalimab,"Coherus Oncology, Inc.",TERMINATED,2024-07-31,2023-04-26,TIGIT
Limited Stage Small Cell Lung Cancer,"This phase 2 trial examined whether the preliminary efficacy and safety of ociperlimab, tislelizumab, and cCRT when used in combination is expected to advance treatment options in the serious unmet medical need population of Limited-Stage Small Cell Lung Cancer (LS-SCLC) participants .",126,NCT04952597,2026-02-05,2024-10-23,No Change,Study of Ociperlimab Plus Tislelizumab Plus Chemoradiotherapy in Participants With Untreated Limited-Stage Small Cell Lung Cancer,PHASE2,Progression Free Survival (PFS),BeiGene,COMPLETED,2023-07-26,2021-07-15,TIGIT
"Stomach Neoplasms, Gastric Cancer, Gastroesophageal Junction Adenocarcinoma","This study is designed to evaluate the efficacy and safety of atezolizumab plus tiragolumab in combination with capecitabine plus oxaliplatin (XELOX) for first-line treatment in participants with HER2-negative unresectable advanced, recurrent or metastatic gastric cancer (GC) or gastroesophageal junction adenocarcinoma (GEJ AC).",29,NCT04933227,2026-02-05,2024-11-11,No Change,"A Study to Explore the Efficacy and Safety of Atezolizumab Plus Tiragolumab and Chemotherapy in 1st Line HER2 Negative Unresectable, Recurrent or Metastatic Gastric Cancer or Adenocarcinoma of Gastroesophageal Junction (GEJ)",PHASE2,Objective Response Rate (ORR) in the Full Analysis Set (FAS) Population,Hoffmann-La Roche,TERMINATED,2023-11-17,2021-08-06,TIGIT
Renal Cell Carcinoma,"This study will evaluate the safety of tobemstomig (RO7247669) in combination with axitinib alone or with tiragolumab (anti-TIGIT) and axitinib as compared to pembrolizumab and axitinib in participants with previously untreated, unresectable locally advanced or metastatic clear-cell renal cell carcinoma (ccRCC).",199,NCT05805501,2026-02-16,2026-02-10,Changed,A Study of Immune Checkpoint Inhibitor Combinations With Axitinib in Participants With Untreated Locally Advanced Unresectable or Metastatic Renal Cell Carcinoma,PHASE2,Incidence and Severity of Adverse Events (AEs),Hoffmann-La Roche,ACTIVE_NOT_RECRUITING,2026-10-31,2023-04-21,TIGIT
"Carcinoma, Neuroendocrine","Background Neuroendocrine carcinomas (NECs) of gastro-entero-pancreatic (GEP) or unknown (UK) origin are rare and highly aggressive diseases. The recommended first-line (L1) treatment is platinum-etoposide combination therapy, which has a progression-free survival (PFS) of only 4-9 months and a median overall survival (OS) of approximately 12 months. All patients experience relapse, often rapidly after this first line of chemotherapy. The standard second-line (L2) chemotherapies recommended by ESMO, ENETS, and NCCN, FOLFIRI and FOLFOX, have modest efficacy with a PFS of 3 months and a median OS of 6 months. The BEVANEC study (PHRCK 2014, NCT02820857) reported no benefit of FOLFIRI + bevacizumab compared to FOLFIRI in a randomized phase II study that enrolled 150 patients in 26 centers over a period of 5 years in France.

To date, the most promising efficacy data for this highly aggressive cancer come from clinical trials of immune checkpoint inhibitors (ICIs) targeting the PD-1/PD-L1 checkpoint. For example, in France, the non-comparative phase II NIPINEC trial (NCT03591731) randomized patients to receive nivolumab +/- ipilimumab in L2/3 and achieved its primary evaluation criterion (ORR-8 weeks\>10%). Other trials in Europe and worldwide have also reported efficacy data in the context of single-arm studies.

Scientific Questions and Unmet Needs:

1. New therapeutic options/perspectives are necessary for patients with GEP/UK NECs given the limited overall survival.
2. Approximately 50% of patients experienced early progression under immunotherapy in the NIPINEC trial and other trials, which may be explained by the absence of chemotherapy combined with immunotherapy and/or the existence of resistance mechanisms.
3. In the GEP/UK NEC indication, the design of these immunotherapy trials has been non-comparative single-arm studies because the realization of randomized comparative trials is considered very difficult for these very rare cancers (incidence \<5/million).

Rationale for the REWENEC-01 Trial The DURIGAST PRODIGE 59 study, conducted by the FFCD, demonstrated the feasibility and safety of the FOLFIRI + double immune checkpoint inhibitor (anti-PD-1 and anti-CTLA4) combination, as well as for the combination Folfox-Domvanalimab-Zimberelimab (anti-PD-1 and anti-TIGIT). In a translational study of the immune phenotype in patients with NECs treated with the anti-PD1 pembrolizumab, an increase in TIGIT expression was observed after pembrolizumab treatment and higher TIGIT expression on T cells in the blood of patients with high Ki67 expression in their tumors. These data suggest that TIGIT is a potential complementary therapeutic target to PD-1/PD-L1 checkpoint inhibition in GEP/UK NECs. Domvanalimab has been developed as an anti-TIGIT monoclonal antibody and zimberelimab as an anti-PD-1.

Design and primary objective of the REWNEC-01 Trial The REWENEC-01 trial is a comparative phase II trial that will randomize GEP/UK NEC patients between an experimental arm FOLFIRI+Zimberelimab + Domvanalimab and a control arm FOLFIRI in L2. The FOLFIRI arm will be a ""hybrid"" synthetic control arm composed of patients from historical/external data from the FOLFIRI arm of BEVANEC and French retrospective studies RBNEC and CEPD, mixed with patients recruited prospectively during the trial and randomized to the control arm. The randomization ratio for patients included prospectively during the trial will be 4:1 (4 patients assigned to FOLFIRI+Zimberelimab + Domvanalimab for 1 patient assigned to FOLFIRI). The randomization algorithm will take into account ""external"" patients assigned progressively to the control arm to obtain a 1:1 ratio between the trial arms, with balanced distributions of stratification factors between the two arms.

With 77 patients to be included, this strategy will provide statistical power equivalent to that of a trial including 122 patients, sufficient to demonstrate an advantage in overall survival rate at 12 months from 32% to 50%.

The hypotheses related to efficacy criteria are formulated a priori, as recommended by the FDA guidance document on trials with synthetic/external control arms. The proof of concept has been reported at ESMO 2023. The primary judgment criterion will be the overall survival rate at 12 months because it is a strong and significant criterion for translating the clinical benefit of the Chemotherapy + Zimberelimab + Domvanalimab combination. The design with a hybrid synthetic control arm allows for the consideration of a randomized comparative study in a cancer as rare as neuroendocrine carcinoma.",122,NCT07337447,2026-02-05,2026-01-07,No Change,Trial of FOLFIRI + Zimberelimab + Domvanalimab vs FOLFIRI With a Hybrid Synthetic Control Arm in Second Line Treatment of Neuroendocrine Carcinoma of Gastro-enteropancreatic or Unknown Origin (REWENEC 01),PHASE2,Overall survival (%) between FOLFIRI and FOLFIRI+Zimberelimab+Domvanalimab,Hospices Civils de Lyon,NOT_YET_RECRUITING,2030-04,2026-04,TIGIT
Advanced Lung Cancer,"This study is an open-label, phase I clinical study to evaluate the efficacy, tolerability and safety of recombinant fully human anti-TIGIT antibody (IBI939) in combination with recombinant fully human anti-programmed cell death receptor 1 (PD-1) antibody (sintilimab) in subjects with advanced lung cancer.",19,NCT04672356,2026-02-05,2023-06-18,No Change,"A Study to Evaluate the Safety , Tolerability and Efficacy of IBI939 in Combination With Sintilimab in Patients With Advanced Lung Cancer",PHASE1,Adverse Events,Innovent Biologics (Suzhou) Co. Ltd.,COMPLETED,2023-06-01,2021-01-25,TIGIT
"Advanced Cancer, Ovarian Cancer, Lung Cancer, Colon Cancer, Plasma Cell Neoplasm, Multiple Myeloma, HNSCC, Microsatellite Stable Colorectal Carcinoma, MSS-CRC","Phase 1 open label sequential dose escalation and cohort expansion study evaluating the safety, tolerability and preliminary antitumor activity of COM902 as monotherapy and in combination with COM701 in subjects with advanced malignancies.",110,NCT04354246,2026-02-05,2025-05-18,No Change,COM902 (A TIGIT Inhibitor) in Subjects With Advanced Malignancies,PHASE1,The safety and tolerability of COM902 monotherapy and in combination with COM701.,Compugen Ltd,ACTIVE_NOT_RECRUITING,2025-12-30,2020-03-31,TIGIT
Locoregionally Advanced Head and Neck Squamous Cell Carcinoma (LA-HNSCC),"This is a phase II, open-label study to assess the efficacy of AZD2936 in terms of molecular residual disease (MRD) clearance and treatment outcome in patients with MRD after definitive treatment for high risk locoregionally advanced head and neck squamous cell carcinoma (LA-HNSCC). MRD is defined as ctDNA detection in plasma after definitive treatment. Approximately 200 patients are expected to be enrolled.

The study is divided in 5 parts:

Part A and Part B are common for all patients in the study, which are defined as the periods of definitive treatment and post definitive treatment. Definitive treatment will be either surgery followed by radiation or chemoradiation; definitive radiation or definitive chemoradiation according to standard of care (SOC) in our institution. A baseline ctDNA sample collection and CT staging will be done before treatment. ctDNA analysis will be performed in Part B at approximately week 5 and at week 10 of this period, and patients will be classified as MRD positive or MRD negative based on the week 10 results. If a patient has equivocal results, a new sample will be taken around week 14. Patients who receive surgery as part of their treatment, will also get ctDNA analysis post-surgery.

Part C is the randomized and interventional part of the study (n=60) for patients with MRD. The patient will be randomized 3:1 to Arm A (treatment with AZD2936) or Arm B (observation). Patients in Arm A will continue treatment until the occurrence of any of these circumstances: after completion of 6 cycles, intolerable toxicity or patient decision. ctDNA analysis will be done at week 10 of Part C.

Part D is the follow up part for patients with MRD. Two ctDNA samples will be analyzed at week 2 and at week 10 of Part D. Plasma samples will be collected every 6 months for the first 3 years and a final sample will be also collected if the patient has radiological or clinical progression. A CT/MRI scan will be performed at week 2 of Part D and, if clinically needed, according to SOC.

Part E is the observational follow up part for patients without MRD. A ctDNA sample will be collected at the time of the first follow up and at radiological or clinical progression if applicable.",200,NCT05414032,2026-02-05,2025-03-25,No Change,Molecular Residual Disease Interception in Locoregionally-Advanced High Risk HPV+ and HPV- HNSCC,PHASE2,"Efficacy (in terms of ctDNA clearance) of AZD2936 compared to observation (Standard of Care, SOC) in LA-HNSCC patients who have MRD (MRD+) after definitive treatment.","University Health Network, Toronto",RECRUITING,2026-07,2023-07-12,TIGIT
Advanced Malignancies,"This is an open-label, dose escalation, Phase I study to evaluate the safety, tolerability, pharmacokinetics and efficacy of IBI939 in subjects with advanced malignancies",34,NCT04353830,2026-02-05,2023-02-28,No Change,"A Study Evaluating the Safety, Tolerability, and Initial Efficacy of Recombinant Human Anti-T-cell Immunoreceptor With Ig and ITIM Domains (TIGIT) Monoclonal Antibody Injection (IBI939) in Subjects With Advanced Malignant Tumors",PHASE1,Number of subjects with AEs and SAEs,Innovent Biologics (Suzhou) Co. Ltd.,COMPLETED,2022-05-11,2020-05-22,TIGIT
Advanced Lung Cancer,"This study is an open-label, phase I clinical study to evaluate the efficacy, tolerability and safety of recombinant fully human anti-TIGIT antibody (IBI939) in combination with recombinant fully human anti-programmed cell death receptor 1 (PD-1) antibody (sintilimab) in subjects with advanced lung cancer.",42,NCT04672369,2026-02-05,2023-06-18,No Change,A Study to Evaluate the Efficacy of IBI939 in Combination With Sintilimab in Patients With Advanced NSCLC,PHASE1,Objective response rate(ORR),Innovent Biologics (Suzhou) Co. Ltd.,COMPLETED,2023-06-01,2021-06-06,TIGIT
"Rectal Neoplasms, Rectal Cancer","This study will evaluate the efficacy and safety of atezolizumab plus tiragolumab or atezolizumab alone following neoadjuvant chemoradiotherapy (nCRT) in participants with locally advanced rectal cancer (LARC). The study consists of a safety run-in phase and a randomization phase. Participants enrolled in the safety run-in phase will receive atezolizumab + tiragolumab following nCRT. Upon determination of the safety of the treatment regimen, the study will be proceed to the randomization phase. Participants will be randomized in a 1:1 ratio to the atezolizumab + tiragolumab arm or atezolizumab arm.",58,NCT05009069,2026-02-05,2026-01-16,No Change,A Study of Atezolizumab With or Without Tiragolumab Following Neoadjuvant Chemoradiotherapy in Participants With Locally Advanced Rectal Cancer,PHASE2,Percentage of Participants With Pathological Complete Response (pCR),Hoffmann-La Roche,ACTIVE_NOT_RECRUITING,2026-11-06,2022-03-18,TIGIT
Non Small Cell Lung Cancer (NSCLC),"Approximately 65 subjects with PD-L1 low (PD-L1Lo), EGFR wt, EML4/ALK fusion negative NSCLC will be enrolled in this trial for examination of the biological characteristics associated to efficacy and safety of Pembrolizumab. Subjects will receive Pembrolizumab iv at dose of 200 mg every three weeks. Subjects will be evaluated every 9 weeks (63 +/- 3 days) with radiographic imaging to assess response to treatment. Subjects will continue with the assigned study treatment until RECIST-defined progression of disease, unacceptable toxicity or consent withdrawal.

Treatment with Pembrolizumab will continue until two years of therapy have been administered, documented disease progression, unacceptable adverse event(s), intercurrent illness that prevents further administration of treatment, investigator's decision to withdraw the subject, subject withdraws consent, pregnancy of the subject, noncompliance with trial treatment or procedure requirements, or administrative reasons. Pembrolizumab treated subjects who obtain a confirmed Complete Response (CR) per RECIST 1.1 may consider stopping trial treatment. These subjects may be eligible for re-treatment with Pembrolizumab after they have experienced radiographic disease progression at the discretion of the investigator, this re-treatment will be the Second Course Phase.",65,NCT03447678,2026-02-05,2021-06-08,No Change,Pembrolizumab in First Line Treatment of Advanced NSCLC Patients With PD-L1 Low Tumors.,PHASE2,Immune biomarkers,"Fondazione IRCCS Istituto Nazionale dei Tumori, Milano",UNKNOWN,2022-05-31,2018-05-23,TIGIT
Advanced Upper Gastrointestinal Tract Adenocarcinoma,"This randomized Phase 3 open-label study will compare the efficacy of the T-cell immunoglobulin and immunoreceptor tyrosine-based inhibitory motif (ITIM) domain (TIGIT) monoclonal antibody domvanalimab, the anti programmed cell death protein 1 (PD-1) monoclonal antibody zimberelimab, and multiagent chemotherapy versus the anti PD-1 monoclonal antibody nivolumab and multiagent chemotherapy in the first-line treatment of participants with locally advanced unresectable or metastatic gastric, gastroesophageal junction (GEJ), and esophageal adenocarcinoma.",1040,NCT05568095,2026-02-05,2026-01-30,No Change,"A Clinical Trial of a New Combination Treatment, Domvanalimab and Zimberelimab, Plus Chemotherapy, for People With an Upper Gastrointestinal Tract Cancer That Cannot be Removed With Surgery That Has Spread to Other Parts of the Body",PHASE3,Overall survival,"Arcus Biosciences, Inc.",ACTIVE_NOT_RECRUITING,2026-06,2022-11-21,TIGIT
"Solid Tumor, Adult","Patients who are enrolled in the MoST or CaSP cancer screening programs, and whose tumour is assessed as amenable to tiragolumab and atezolizumab treatment, will be recommended for participation in the study. After being informed about the study, and the potential risks, patients who consent to participate undergo a 21-day screening period to determine study eligibility. Patients will be prospectively selected into subgroups based on their tumour characteristics.

Once eligibility is confirmed, tiragolumab alone is administered at Cycle 1 Day 1 (day 1 of study). Commencing from Cycle 2 Day 1, tiragolumab and atezolizumab are administered at 21-day cycles until treatment discontinuation, with or without disease progression.

Participants undergo a biopsy at cycle 2 prior to commencement of atezolizumab treatment. Standard imaging scans (usually computed tomography (CT)) are performed throughout the trial. Patients also undergo blood, urine and stool sample collection on study.

Once participants discontinue treatment, a study visit is performed within 30 days of the end of the final treatment cycle. If treatment cessation is not contemporaneous with disease progression, follow-up calls are conducted every 9 weeks until disease progression. Once disease progression occurs, a study visit is performed within 30 days of disease progression and then every 3 months until 12 months after the final participant discontinues study treatment.

Active follow-up of all participants will continue until death or 12 months after the last participant discontinues study treatment, whichever occurs first. Subsequently, survival data will be obtained through MoST or CaSP until death.",96,NCT06003621,2026-02-05,2024-11-13,No Change,Tiragolumab and Atezolizumab in Advanced Pan-cancer Patients,PHASE2,Progression Free Survival (PFS) rate at 6 Months,Omico,RECRUITING,2028-11-01,2023-12-15,TIGIT
"Glioma, Glioma Tumor Recurrence, Glioma, Recurrent High Grade, Glioblastomas (GBM), Glioblastoma WHO Grade IV","BC008-1A is an innovative bispecific antibody targeting TIGIT and PD-1, which is developed by Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd. . BC008-1A targets PD-1 and TIGIT to block the relevant signaling pathways, relieve the inhibition on T lymphocytes, thereby facilitating the activation of T cells and achieving the functions of immune surveillance, recognition and killing of tumor cells. Subjects with recurrent CNS WHO grade 4 glioma will be randomly assigned to dose group A (900 mg) or B (1200 mg) at a ratio of 1:1. BC008-1A will be administered once every 3 weeks until disease progression, intolerable toxicity, withdrawal of informed consent, loss to follow-up, initiation of new anti-tumor treatment, the decision of the investigator for the subject to withdraw based on the subject's benefit situation, death or other circumstances, whichever occurs first.",40,NCT06773481,2026-02-05,2025-07-07,No Change,BC008-1A Injection for Recurrent CNS WHO G4 Glioma,PHASE1,Safety,"Sichuan Luzhou Buchang Biopharmaceutical Co., Ltd.",RECRUITING,2026-12,2025-04-07,TIGIT
"Liver Cancer, Adult","* To assess the accuracy of biomarkers from an immunophenotypic test (CD8+, PD1+, PD-L1+, CTLA4+, LAG3+, CD8+PD1+, CD8+PDL1+ peripheral lymphocyte populations and circulating granulocytes) in predicting the response to immuno-therapy in patients affected by hepatocellular carcinoma (HCC).
* To compare the transcriptomic signatures of peripheral blood mononuclear cells (PBMC) of responders and non-responders (assessed at the first imaging study).

RNAseq data will be validated by RT-PCR in independent prospective cohorts.",100,NCT06777628,2026-02-05,2025-01-14,No Change,Immunophenotype of PBMC to Early Predict Response to Immunotherapy in Hepatocellular Carcinoma,N/A,To find predictive biomarkers of response to immunotherapy in HCC,IRCCS Azienda Ospedaliero-Universitaria di Bologna,RECRUITING,2028-10-15,2024-09-15,TIGIT
"Cancer, Carcinoma, Squamous Cell Carcinoma, Head and Neck Cancer","PRIMARY OBJECTIVES:

I. To determine the effect of neoadjuvant atezolizumab alone or in combination with tiragolumab, tocilizumab, or other immune modulating agent(s) on T-cell infiltration in advanced in advanced squamous cell carcinoma of the head and neck (SCCHN). (Translational).

II. To determine the impact of neo-adjuvant immunotherapy on surgical outcomes. (Clinical).

SECONDARY OBJECTIVES:

I. To describe the changes in T-cell subtypes and other mediators of antitumor immune response induced by neoadjuvant atezolizumab alone or in combination with tiragolumab, tocilizumab, or other immune-modulating agent(s) in advanced SCCHN patients. (Translational).

II. To describe the impact of neoadjuvant, surgical, and adjuvant therapy on peripheral immune responses. (Translational).

III. To establish the safety/toxicity profile of each regimen in the perioperative settings for patients with advanced SCCHN. (Clinical).

EXPLORATORY OBJECTIVES:

I. To characterize changes in the gut microbiome associated with each therapeutic combination.

II. To assess the correlation of disease status with C-Reactive Protein (CRP) and lactate dehydrogenase (LDH) levels.

III. To assess the correlation of disease status with Interleukin 6 (IL-6) levels for participants in Arm C (atezolizumab + tocilizumab).

IV. If leftover tissue and funding are available: To develop immune-competent tumor xenograft models.

V. To determine whether neo-adjuvant immune therapy improves 2-year relapse-free survival (RFS) in patients with SCCHN

OUTLINE: This is a phase II, multi-arm, open-label trial of perioperative atezolizumab alone or in combination with other immune-modulating agents in advanced SCCHN. Based on the results of these initial cohorts, the trial will be amended to explore other novel atezolizumab-based combinations (such as atezolizumab in combination with another immuno-oncology (IO) agent, chemotherapeutics, or a molecularly targeted agent that could potentiate the activity of atezolizumab). Each of these new cohorts will be tested and enrolled to in sequential, non-randomized fashion.

Arm A: Patients receive 2 infusions of atezolizumab intravenously (IV) over 30-60 minutes for up to 15 days prior to definitive surgery and radiation.

Arm A (Adjuvant): Patients received 2 infusions of atezolizumab intravenously (IV) over 30-60 minutes for up to 15 days prior to definitive surgery and radiation. In addition to neoadjuvant atezolizumab, the first 9 participants in Arm A (atezolizumab monotherapy) received adjuvant atezolizumab beginning 16 weeks after surgery and radiation, or chemoradiation therapy, every 3 weeks for up to 12 courses in the absence of disease progression or unacceptable toxicity. Adjuvant atezolizumab will only be initiated if radiation-associated adverse events have resolved to grade 2 or better.

Arm B: Patients receive atezolizumab IV over 30-60 minutes for up to 2 courses and tiragolumab administered by IV infusion on Cycle 1 Day 1 of neoadjuvant treatment prior to standard surgery.

Arm C: Patients receive atezolizumab IV over 30-60 minutes for up to 2 courses and tocilizumab administered by IV infusion on Cycle 1 Day 1 of neoadjuvant treatment prior to standard surgery. Tocilizumab will be administered (prior to atezolizumab administration) as an intravenous infusion Atezolizumab will be administered 2 hours after the conclusion of the tocilizumab infusion.

After completion of study treatment, patients are followed up at 30 days post surgery, 3 months, 6 months, 12 months, and at 24 months.",55,NCT03708224,2026-02-05,2025-01-24,No Change,Preoperative Immunotherapy in Patients With Squamous Cell Carcinoma of the Head and Neck,PHASE2,Proportion of subjects with a >= 40% increase in the cluster of differentiation 3 (CD3) counts,Alain Algazi,RECRUITING,2028-06-30,2019-03-08,TIGIT
Solid Tumor,"This study design for center, openness, dose escalation, and expand the research of phase I clinical trials, research the main evaluation BAT6021 injection for single or combined Tislelizumab in patients with advanced malignant solid tumors in the safety, tolerability and PK characteristics, to explore the maximum tolerated dose and preliminary antitumor efficacy, provide the basis for subsequent clinical trials recommended dose.

The study is divided into two parts:

Part I: single drug dose escalation study. Accelerated titration and ""3+3"" dose escalation rule were used to explore the safety, tolerability and pharmacokinetic characteristics of BAT6021.

Since the clinical benefit of a single agent may be limited, the study used accelerated titration and the ""3+3"" dose-escalation rule to explore the safe dose range from the ethical point of view of exposing fewer subjects to ineffective doses. A total of 8 dose groups were set up, including 1mg (initial dose) group, 3mg group, 10mg group, 30mg group, 100mg group, 300mg group, 600mg group and 900mg group, respectively. The whole is divided into two phases. The first stage: 1mg group, 3mg group, 10mg group using accelerated titration method dose increase. The second stage: 30mg group, 100mg group, 300mg group, 600mg group, 900mg group according to the standard ""3+3"" rule for dose increase study.

If MTD is found, the sponsor may select a dose of MTD or lower as the recommended dose for phase II clinical studies after discussion with the investigator based on the specific situation. If MTD is not reached, the sponsor may select a dose of MAD or one of the following dose groups as the recommended dose for phase II clinical studies, depending on the specific situation and discussion with the investigator. As the study progresses, protocols may be allowed to revise the definition of DLT as appropriate in light of new clinical findings. Adverse events that meet DLT criteria occurring outside the DLT evaluation period or other adverse safety information that the investigator considers meaningful do not directly influence dose-escalation decisions, but should be taken into account in the final determination of THE RP2D. Prior to each dose increase, the sponsor and investigator will discuss and comprehensively evaluate the decision to increase or decrease the dose, using available information on safety, PK (if any), and efficacy.

Prior to inclusion in the next dose team, all subjects in the previous dose group must complete 21 days of DLT observation before toleration is explored according to the standard ""3+3"" dose escalation rule. In dose-escalation studies, the first subject in the same dose group may be included in the next subject 1 week after the first dose observation. Within each dose group, a minimum of 24 hours should be allowed between the administration of the prior subject and the administration of subsequent subjects.

Dose reduction adjustments are not allowed. The dose of BAT6021 should be upregulated as appropriate, but with extreme caution, at least simultaneously: (1) Subjects have received at least 4 cycles of study medication; (2) After discussion between the sponsor and the study, it was concluded that the subjects receiving the higher primary dose group might bring more clinical benefits than the current dose group; (3) The higher dose group has been shown to fail to reach MTD by subsequent dose escalation studies.

Part TWO: the study of dose escalation for combined administration. In BAT6021 combined with Tislelizumab of dose escalation study, before start the combination therapy, sponsor should communicate with CDE and ethics committee, submit BAT6021 single drug dose escalation stage research data.

In the dose extension study, according to the preliminary safety and efficacy data of the dose escalation study, the investigator discussed with the sponsor to select the appropriate dose and tumor species for the extension study, so as to further study the safety and clinical efficacy of BAT6021 single drug or combined tislelizumab, providing a basis for subsequent clinical studies. In the monotherapy group, 1 to 2 dose cohorts were studied, with no less than 6 patients in each dose cohorts, and PK study was conducted for all patients. In the combined treatment group, 4-5 cohorts of different tumor types will be selected, with no less than 20 patients in each cohort. In some cohorts for PK studies, no less than 6 subjects were included in PK studies.

The overall study period can be roughly divided into screening period, treatment period and follow-up period:

Screening period: -28d\~0d, that is, after the informed consent is signed, the screening evaluation can be completed within 28 days;

Treatment period: There will be one administration cycle every 3 weeks, and the study drug will be given on the first day of each cycle. Starting from the second cycle, the time window of administration can be ±3 days. However, in addition to imaging examination, subjects must complete all tests including vital signs, laboratory examination, and physical status score within 72 hours before each administration. Subjects were also required to complete clinical tumor radiographic evaluations (consistent, CT or MRI) at a frequency of once every 6 weeks (±7 days) within 24 weeks of initial dosing and once every 9 weeks (±7 days) thereafter. Study drug therapy should continue until withdrawal due to disease progression, or unacceptable toxicity, or new antitumor therapy due to no therapeutic benefit, or withdrawal of informed consent and other reasons, or study termination, whichever comes first. The study termination time shall be 1 year after the last subject receives study medication or all subjects leave the study, whichever comes first.

The DLT evaluation period was defined as the first treatment cycle, from initial dosing to 21 days after dosing.

Follow-up period: If the investigator decides to discontinue study drug Therapy, the EOT will be considered as the End of Therapy. EOT visits will be scheduled for all subjects, including those who have discontinued treatment for any reason other than loss of follow-up, death, or withdrawal of informed consent, within 21+7 days of the investigator's decision to discontinue the subject's study medication and prior to the subject receiving subsequent new antitumor therapy. EOT visits should include vital signs, physical examination, laboratory examination, and clinical tumor imaging evaluation (CT or MRI).

Safety follow-up: After receiving the last dose of study drug, the subjects were required to undergo safety visits at 21 (+7), 60 (±7), and 90 (±7) days, including immune-related adverse events (irAE). Until 90 days or subjects receive new antitumor therapy. Safety visits should be conducted at the study center, where vital signs, physical examination, laboratory examination and other examinations should be performed to evaluate AE, concomitant medication and concomitant treatment. Disappear until related to study drug adverse reaction (or fell to a level 1 or less), the subjects after stop treatment if adverse reaction still exists, the researchers have discretion, in combination with the practical situation of clinical decision follow-up frequency until researchers believe that the outcome of adverse reactions to restore normal, stable at an acceptable level, or there will be no further improvements.

Follow-up for survival: After the safe follow-up, the subjects were followed up once every 12 weeks (±14 days) by telephone until death, loss of follow-up, withdrawal of informed consent or termination of the study.

The longest treatment time of the drugs studied in this project is about 1 year. In the absence of disease progression or intolerance of toxicity 1 year after initial study use, subjects may return to the study facility and be continued by the investigator until disease progression occurs.",5,NCT05120375,2026-02-05,2023-10-08,No Change,Assessment of Safety and Preliminary Efficacy With BAT6021 in Solid Tumor Patients in China,PHASE1,Dose-limiting toxicity(DLT),Bio-Thera Solutions,TERMINATED,2023-04-07,2022-02-17,TIGIT
